sites,study_id,year,indepedence_weight,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes
1,Rex_2011,2011,0.5,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,https://drive.google.com/file/d/1Ol2__6OU8p_1dHnO4pc2NqvuAWdUu5Xc/view?usp=sharing,2,2,Yes,18,NA,2,3,2,Richness,Stable Isotopes,Bats,Americas,Costa Rica,Unlogged,Wet,Lowland rainforest,100,35,10.42134,-84.019396,2004-09-01,2004-11-20,"Food resources, forest structure",oxygen isotope analysis,Guild specific - phyllostomidae
2,Rex_2011,2011,0.5,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,https://drive.google.com/file/d/1Ol2__6OU8p_1dHnO4pc2NqvuAWdUu5Xc/view?usp=sharing,2,2,Yes,19,NA,2,3,2,Richness,Stable Isotopes,Bats,Americas,Costa Rica,Unlogged,Dry,Lowland rainforest,100,35,10.42134,-84.019396,2005-03-01,2005-05-20,"Food resources, forest structure",oxygen isotope analysis,Guild specific - phyllostomidae
3,Rex_2011,2011,0.5,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,https://drive.google.com/file/d/1Ol2__6OU8p_1dHnO4pc2NqvuAWdUu5Xc/view?usp=sharing,2,2,Yes,20,NA,2,3,2,Richness,Stable Isotopes,Bats,Americas,Ecuador,Unlogged,Wet,Lowland rainforest,200,35,-0.643142,-76.153164,2004-09-01,2004-11-20,"Food resources, forest structure",oxygen isotope analysis,Guild specific - phyllostomidae
4,Rex_2011,2011,0.5,"Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.",doi:10.1017/S0266467411000022,https://drive.google.com/file/d/1Ol2__6OU8p_1dHnO4pc2NqvuAWdUu5Xc/view?usp=sharing,2,2,Yes,30,NA,2,3,2,Richness,Stable Isotopes,Bats,Americas,Ecuador,Unlogged,Dry,Lowland rainforest,200,35,-0.643142,-76.153164,2005-03-01,2005-05-20,"Food resources, forest structure",oxygen isotope analysis,Guild specific - phyllostomidae
1,Prevedello_2008,2008,1,"Prevedello, J. A., Ferreira, P., Papi, B. S., Loretto, D., & Vieira, M. V. (2008). Uso do espaço vertical por pequenos mamíferos no Parque Nacional Serra dos Órgãos, RJ: um estudo de 10 anos utilizando três métodos de amostragem. Revista Espaço e Geografia, 11(1).",NA,https://drive.google.com/file/d/1xVCijNh36VDXiqjQYiKmelcXDgdgJjlh/view?usp=sharing,1,1,Yes,15,2759,5,3,5,Abundance,Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Atlantic rainforest,650,30,-22.466667,-42.983333,1997-04-01,2007-08-01,"Forest structure, nesting habitats",Useful discussion on sampling methods - the underestimation of understorey use,"3 sites at 522, 650, and 750 m elevation"
1,Passamani_1995,1995,1,"Passamani, M. (1995). Vertical stratification of small mammals in Atlantic Hill forest. Mammalia (Paris), 59(2), 276-279.",NA,https://drive.google.com/file/d/1CL7YfuesC24EiuTOryPs9GuzdjAcqNnd/view?usp=sharing,2,2,Yes,9,55,2,1,4,Richness,Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Atlantic rainforest,775,20,-19.833333,-40.366667,1991-01-01,1991-09-15,"Forest strucutre (for movement), food resources",NA,NA
1,Francis_1994,1994,1,"Francis, C. M. (1994). Vertical stratification of fruit bats (Pteropodidae) in lowland dipterocarp rainforest in Malaysia. Journal of Tropical Ecology, 523-530.",NA,https://drive.google.com/file/d/167SA1QvMY9njS7SlcuhpSwYC1CJubP1d/view?usp=sharing,1,1,Yes,11,221,4,2,1,Abundance,Mist nets,Bats,Asia and Oceania,Malaysia,Unlogged,Unknown,Lowland rainforest,100,30,3.716667,102.166667,1992-07-12,1992-09-01,"Forest structure (clutter), food resources",NA,NA
1,Cademartori_2008,2008,1,"Cademartori, C. V., Marques, R. V., & Pacheco, S. M. (2008). Estratificação vertical no uso do espaço por pequenos mamíferos (Rodentia, Sigmodontinae) em área de Floresta Ombrófila Mista, RS, Brasil. Revista Brasileira de Zoociências, 10(3).",NA,https://drive.google.com/file/d/1lkWFP8ROUxRL2KzuqqfvJw8HEFg5VCJL/view?usp=sharing,2,2- trapping success,Yes,NA,121,2,3,3,Abundance,Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Mixed ombrophilous forest,930,20,-29.383333,-50.383333,2004-08-01,2005-07-01,Not given,NA,NA
1,Paste_2018,2018,NA,"Paste, R & Voltolini, J. C. (2018). Estratificação vertical de marsupiais e roedores em Floresta Atlântica, Parque Estadual da Serra do Mar. Revista Biociências, 24(2).",NA,https://drive.google.com/file/d/1KFeRFwQJRkKCuCy1Tl4rw0coHvevSdBK/view?usp=sharing,1,1,Yes,9,102,2,3,4,"Abundance, Richness - 3 categories of height",Traps,Small mammals,Americas,Brazil,"Secondary forest (young, medium)",Sampling combined across the year,Montana Rainforest,850,20,-23.4,-45.05,2002-01-01,2003-07-01,NA,NA,NA
1,Terborgh_1980,1980,1,"Terborgh, J. (1980). Vertical stratification of a Neotropical forest bird community. Acta XVII Congr. Int. Orn. Berlin, 1978, 1005-1012.",NA,https://drive.google.com/file/d/1DxeHoWLVI1to05493YU08MBGtF5dp4Dv/view?usp=sharing,2,2 - data needs stripping from figure,Yes,156,NA,2,3,5,Richness - continuous,Human observation,Birds,Americas,Peru,Unlogged,Sampling combined across the year,Submontane moist forest,700,40,-12.329706,-73.947202,1968,1972,NA,NA,NA
