mean_height,sd,range_min,range_max,n
14.5,0,14.5,14.5,5
9,0,9,9,2
11.3,0.36,10.5944,12.0056,168
12.9,1.1,10.744,15.056,19
13.8,0.6,12.624,14.976,82
7.4,0.5,6.42,8.38,64
14.5,0.6,13.324,15.676,33
4.8,0.7,3.428,6.172,29
3.8,0.2,3.408,4.192,165
7,0.1,6.804,7.196,909
11.3,0.2,10.908,11.692,521
9.1,0.3,8.512,9.688,280
