sites,study_ID,climate_theorized,climate_investigated,food_theorized,food_investigated,structure_theorized,structure_investigated,microhabitat_theorized,microhabitat_investigated,sex_theorized,sex_investigated,guilds_theorized,guilds_investigated,seasonality_theorized,seasonality_investigated,diurnality_theorized,diurnality_investigated,predation_theorized,predation_investigated,light_theorized,light_investigated,detection_theorized,detection_investigated,reproduction_theorized,reproduction_investigated,age_theorized,age_investigated,morphology_theorized,morphology_investigated,competition_theorized,competition_investigated,shelter_theorized,shelter_investigated,coexistence_theorized,coexistence_investigated,interactions_theorized,interactions_investigated
1,Walther_2002,Y,X,Y,YY,Y,YY,Y,YY,,,,,,,Y,YY,,,Y,YY,,,,,,,,,,,,,,,Y,YY
1,Warner_2002,,,Y,X,Y,YY,Y,X,,,,,,,,,,,,,,,,,,,,,,,Y,X,,,,
1,Wells_2004,,,Y,X,Y,YY,Y,YY,,,,,Y,X,,,Y,X,,,,,,,,,Y,X,,,,,,,Y,X
1,Frith_1984,,,Y,YY,Y,X,Y,X,,,,,Y,YY,Y,YY,,,Y,X,,,,,,,Y,YY,,,,,Y,X,,
1,Thivyanathan_2016,,,Y,YY,Y,YY,Y,YY,,,Y,YY,,,,,,,,,,,,,,,Y,X,Y,X,,,Y,YY,Y,X
1,McEnnerney_2008,,,Y,YY,Y,YY,,,,,Y,YY,,,,,,,Y,X,Y,X,,,,,Y,X,Y,X,,,Y,YY,Y,X
1,Clarke_2005,,,Y,YY,Y,X,,,,,Y,YY,,,,,,,,,,,,,,,,,,,Y,X,,,,
1,Whitworth_2019,,,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hodgkison_2004,,,Y,YY,Y,YY,,,,,,,,,,,,,,,,,,,,,Y,YY,,,,,,,,
1,Rex_2011,,,Y,YY,Y,YX,,,,,,,,,,,Y,X,,,Y,YY,,,,,,,,,Y,X,,,Y,X
1,Prevedello_2008,,,,,Y,X,Y,X,,,,,,,,,,,,,Y,YY,,,,,,,,,Y,YY,Y,X,,
1,Passamani_1995,,,Y,X,Y,X,,,,,,,,,,,,,,,,,,,,,,,Y,X,,,Y,X,Y,X
1,Francis_1994,,,Y,YY,Y,X,,,,,,,,,,,Y,X,,,,,,,,,,,Y,X,Y,X,,,Y,X
1,Cademartori_2008,,,,,Y,YY,,,,,,,,,,,,,,,,,,,,,Y,X,Y,X,,,Y,X,Y,X
1,Paste_2018,Y,X,Y,X,Y,X,,,Y,X,Y,YY,Y,YY,,,,,,,,,,,,,,,,,,,,,,
1,Terborgh_1980,Y,X,Y,YY,Y,YY,Y,X,,,Y,YY,,,,,,,Y,X,,,,,,,Y,YY,Y,X,,,Y,X,Y,X
1,Heymann_2002,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,Y,YY,,,,,Y,X,Y,X
1,Karr_1976,,,Y,YY,Y,YY,Y,X,,,Y,YY,Y,X,,,,,,,Y,X,,,,,Y,X,Y,X,,,,,Y,X
1,Gonzalez_2020,Y,X,Y,X,Y,X,Y,X,,,,,,,,,,,Y,X,,,Y,X,,,,,,,,,Y,X,,
1,Zubaid_1994,,,Y,X,Y,X,,,,,Y,YY,,,,,Y,X,Y,X,,,,,,,Y,X,,,,,,,Y,X
1,Ingle_1993,,,Y,YY,,,,,,,Y,YY,,,,,,,,,,,,,,,,,,,Y,X,,,,
1,Gokula_2007,,,Y,YY,Y,YY,,,,,Y,YY,Y,X,,,,,,,,,,,,,Y,X,Y,X,,,,,Y,X
1,Weber_2011,,,Y,YY,,,,,,,,,Y,X,Y,X,Y,X,,,Y,X,,,,,Y,X,Y,YY,Y,X,Y,X,Y,YY
1,Zubaid_1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Maklarin_1998,,,,,Y,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,X,,
