sites,study_id,year,reference,doi_link,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,forest_type_iucn_new,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,link
1,Karr_1971,1971,"Karr, J. R. (1971). Structure of avian communities in selected Panama and Illinois habitats. Ecological Monographs, 41(3), 207-233.",NA,2,2,4,Richness - 4 categories of height,Mist nets + Human observation,Birds,Americas,Panama,Unlogged,Sampling combined,Tropical rainforest,moist_lowland_forest,100,35,9.159722,-79.743333,7/1/1968,7/30/1969,Karr_1971 _ 1
1,Kuznetsov_2008,2008,"Kuznetsov, G. V., & Filatova, T. N. (2008). On the structure of rodent communities in tropical forests of southern Vietnam. Biology Bulletin, 35(5), 515-523.",10.1134/S1062359008050130,2,2,4,"Abundance (Figure 4), Richness (2/3 - combine) - 2 categories of height",Traps,Small mammals,Asia and Oceania,Vietnam,Unlogged,Wet,Tropical rainforest,moist_lowland_forest,200,25,11.439917,107.415222,12/1/2005,4/1/2007,Kuznetsov_2008 _ 1
1,Lambert_2005,2005,"Lambert, T. D., Malcolm, J. R., & Zimmerman, B. L. (2005). Variation in small mammal species richness by trap height and trap type in southeastern Amazonia. Journal of Mammalogy, 86(5), 982-990.",http://dx.doi.org/10.1644/1545-1542(2005)86[982:VISMSR]2.0.CO;2,3,3,5,"Abundance, Richness - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Tropical rainforest,moist_lowland_forest,300,20,-7.770556,-51.961944,6/1/2002,3/1/2003,Lambert_2005 _ 1
1,Latta_1998,1998,"Latta, S. C., & Wunderle Jr, J. M. (1998). The Assemblage of Birds Foraging in Native West Indian Pine (Pinus occidentalis) Forests of the Dominican Republic during the Nonbreeding Season 1. Biotropica, 30(4), 645-656.",10.1111/j.1744-7429.1998.tb00104.x,4,2,2,"Richness, possibly abundance - Currently in continuous gradient",Human observation,Birds,Americas,Dominican Republic,Unlogged,Sampling combined,Pine forest,moist_montane_forest,800,20,19.069661,-70.844673,10/1/1993,4/1/1995,Latta_1998 _ 1
1,Lentijo_2005,2005,"Lentijo, G. M., & Kattan, G. H. (2005). Estratificación vertical de las aves en una plantación mono específica y en bosque nativo en la cordillera central de Colombia. Ornitología Colombiana, 3, 51-61.",NA,2,2,3,"Abundance (easy - Figure 3 - 5 strata), Richness (appendix - continuous)",Human observation,Birds,Americas,Colombia,Unlogged,Sampling combined,Humid forest,moist_montane_forest,1950,33,4.733333,-75.583333,11/1/2001,4/1/2002,Lentijo_2005 _ 1
1,Lim_2001,2001,"Lim, B. K., & Engstrom, M. D. (2001). Bat community structure at Iwokrama forest, Guyana. Journal of Tropical Ecology, 647-665.",10.1017/s0266467401001481,2,3,3,Richness (appendix data recorded as % found in understorey vs canopy),Mist nets,Bats,Americas,Guyana,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,100,30,4.5,-59.25,3/9/1997,11/21/1997,Lim_2001 _ 1
1,MacSwiney_2008,2008,"MacSwiney G, M. C., Clarke, F. M., & Racey, P. A. (2008). What you see is not what you get: the role of ultrasonic detectors in increasing inventory completeness in Neotropical bat assemblages. Journal of applied Ecology, 45(5), 1364-1371.",https://doi.org/10.1111/j.1365-2664.2008.01531.x,5,3,5,"Richness, abundance - 2 categories of height",Mist nets + Audio devices,Bats,Americas,Mexico,Unlogged,Sampling combined,Rainforest,moist_lowland_forest,50,30,21.1,-87.166667,2003,2005,MacSwiney_2008 _ 1
1,Malcolm_1991,1991,"Malcolm, J. R. (1991). Comparative abundances of Neotropical small mammals by trap height. Journal of Mammalogy, 72(1), 188-192.",NA,5,3,5,"Richness, abundance (either 2 or 3 heights depending on the data taken from different trap methods)",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,100,35,-2.650665,-61.565232,11/1/1983,11/1/1985,Malcolm_1991 _ 1
1,Malcolm_2000,2000,"Malcolm, J. R., & Ray, J. C. (2000). Influence of timber extraction routes on central African small‐mammal communities, forest structure, and tree diversity. Conservation Biology, 14(6), 1623-1638.",NA,5,4,2,"Abundance, Richness (needs taking from Table 3)- 3 categories of height",Traps,Small mammals,Africa,Central African Republic,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,400,33,2.95,16.266667,11/1/1993,4/1/1994,Malcolm_2000 _ 1
1,Marques_2015,2015,"Marques, J. T., Ramos Pereira, M. J., & Palmeirim, J. M. (2015). Patterns in the use of rainforest vertical space by Neotropical aerial insectivorous bats: all the action is up in the canopy. Ecography.",10.1111/ecog.01453,5,5,2,"Richness, Abdunance - 3 categories of height",Audio devices,Bats,Americas,Brazil,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,40,35,-2.616667,-64.616667,10/1/2007,12/15/2007,Marques_2015 _ 1
