"","Study Unit","Reference","Taxa","Method","Study Quality","Bioregion","Country","Latitude","Longitude","Elevation","Forest Type","Canopy Height","Season","Richness","Abundance"
"67","Rajaonarivelo 2020","Rajaonarivelo, J. A., Andrianarisima, A., Raherilalao, M. J., & Goodman, S. (2020). Vertical distribution and daily patterns of birds in the dry deciduous forests of central western Madagascar. Tropical Zoology, 33(1).","Birds","Human observation",9,"Africa","Madagascar",-20.083333,44.533333,30,"dry_forest",20,"Wet","Y","Y"
"68","Rex 2011","Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.","Bats","Stable Isotopes",7,"Americas","Costa Rica",10.42134,-84.019396,100,"moist_lowland_forest",35,"Wet","Y",NA
"69","Rex 2011 (2)","Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.","Bats","Stable Isotopes",7,"Americas","Costa Rica",10.42134,-84.019396,100,"moist_lowland_forest",35,"Dry","Y",NA
"70","Rex 2011 (3)","Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.","Bats","Stable Isotopes",7,"Americas","Ecuador",-0.643142,-76.153164,200,"moist_lowland_forest",35,"Wet","Y",NA
"71","Rex 2011 (4)","Rex, K., Michener, R., Kunz, T. H., & Voigt, C. C. (2011). Vertical stratification of Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae) revealed by stable carbon isotopes. Journal of Tropical Ecology, 211-222.","Bats","Stable Isotopes",7,"Americas","Ecuador",-0.643142,-76.153164,200,"moist_lowland_forest",35,"Dry","Y",NA
"72","Rodríguez 2009","Rodríguez, M. H. O. (2009). Análisis de la estratificación vertical del ensamblaje de murciélagos de un fragmento de bosque seco tropical (Córdoba, Colombia), a partir de la heterogeneidad del hábitat y la ecomorofología alar. Trabajo de Grado. Bogotá: Facultad de Ciencias, Pontificia Universidad Javeriana.","Bats","Mist nets",6,"Americas","Colombia",8.181667,-75.55,75,"dry_forest",15,"Wet","Y","Y"
"73","Scheffers 2013","Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.","Amphibians","Human observation",6,"Asia and Oceania","Philippines",14.042436,121.524332,1000,"moist_montane_forest",20,"Wet","Y","Y"
"74","Scheffers 2013 (2)","Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.","Amphibians","Human observation",6,"Asia and Oceania","Philippines",14.052623,121.51217,1400,"moist_montane_forest",20,"Wet","Y","Y"
"75","Scheffers 2013 (3)","Scheffers, B. R., Phillips, B. L., Laurance, W. F., Sodhi, N. S., Diesmos, A., & Williams, S. E. (2013). Increasing arboreality with altitude: a novel biogeographic dimension. Proceedings of the Royal Society B: Biological Sciences, 280(1770), 20131581.","Amphibians","Human observation",6,"Asia and Oceania","Philippines",14.056614,121.50037,1800,"moist_montane_forest",20,"Wet","Y","Y"
"76","Silva 2020b","Silva, R. C., Silveira, M., & Verde, R. S. (2020). Vertical stratification of phyllostomid bats assemblage (Chiroptera, Phyllostomidae) in a forest fragment in Brazilian Southwestern Amazon. Neotropical Biology and Conservation, 15, 107.","Bats","Mist nets",9,"Americas","Brazil",-10.081389,-67.621944,200,"moist_lowland_forest",30,"Sampling combined","Y","Y"
"77","Terborgh 1980","Terborgh, J. (1980). Vertical stratification of a Neotropical forest bird community. Acta XVII Congr. Int. Orn. Berlin, 1978, 1005-1012.","Birds","Human observation",10,"Americas","Peru",-12.329706,-73.947202,700,"moist_montane_forest",40,"Sampling combined","Y",NA
"78","Thivyanathan 2016","Thivyanathan, N. (2016). Foraging patterns of birds in resource partitioning in tropical mixed dry deciduous forest, India. Journal of Energy and Natural Resources, 5(2), 16-29.","Birds","Human observation",10,"Asia and Oceania","India",11.333333,76.716667,800,"dry_forest",11,"Sampling combined","Y","Y"
"79","Vieira 2003","Vieira, E. M., & Monteiro-Filho, E. L. (2003). Vertical stratification of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology, 19(05), 501-507.","Small mammals","Traps",12,"Americas","Brazil",-24.233333,-48.066667,200,"moist_lowland_forest",25,"Sampling combined",NA,"Y"
"80","Vieira 2003 (2)","Vieira, E. M., & Monteiro-Filho, E. L. (2003). Vertical stratification of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology, 19(05), 501-507.","Small mammals","Traps",10,"Americas","Brazil",-24.283333,-47.35,900,"moist_montane_forest",25,"Sampling combined",NA,"Y"
"81","Voss 2001","Voss, R. S., Lunde, D. P., & Simmons, N. B. (2001). The mammals of Paracou, French Guiana: a neotropical lowland rainforest fauna part 2. Nonvolant species. Bulletin of the American Museum of Natural History, 2001(263), 3-236.","Small mammals","Traps",10,"Americas","French Guiana",5.275278,-52.923611,25,"moist_lowland_forest",30,"Sampling combined","Y","Y"
"82","Walther 2002","Walther, B. A. (2002). Vertical stratification and use of vegetation and light habitats by Neotropical forest birds. Journal für Ornithologie, 143(1), 64-81.","Birds","Human observation",10,"Americas","Venezuela",3.166667,-65.666667,110,"moist_lowland_forest",33,"Sampling combined","Y","Y"
"83","Weber 2011","de Moraes Weber, M., de Arruda, J. L. S., Azambuja, B. O., Camilotti, V. L., & Cáceres, N. C. (2011). Resources partitioning in a fruit bat community of the southern Atlantic Forest, Brazil. Mammalia, 75(3), 217-225.","Bats","Mist nets",9,"Americas","Brazil",-29.833333,53.833333,350,"moist_lowland_forest",15,"Sampling combined",NA,"Y"
"84","Wells 2004","Wells, K., Pfeiffer, M., Lakim, M. B., & Linsenmair, K. E. (2004). Use of arboreal and terrestrial space by a small mammal community in a tropical rain forest in Borneo, Malaysia. Journal of Biogeography, 31(4), 641-652.","Small mammals","Traps",11,"Asia and Oceania","Malaysia",6.122515,116.520789,850,"moist_montane_forest",30,"Dry","Y","Y"
"85","Zubaid 1994","Zubaid, A. (1994). Vertical stratification of pteropodid bats in a Malaysian lowland rainforest. Mammalia (Paris), 58(2), 309-311.","Bats","Mist nets",6,"Asia and Oceania","Malaysia",2.916667,101.75,100,"moist_lowland_forest",20,"Wet",NA,"Y"
"86","Zubaid 1997","Zubaid, A. & Ariffin, K (1997). A comparison of small mammal abundance between a primary and distributed lowland rain forest in Peninsular Malaysia.","Small mammals","Traps",8,"Asia and Oceania","Malaysia",3.716667,102.283333,100,"moist_lowland_forest",35,"Sampling combined",NA,"Y"
